Date,Daily_Revenue,Transactions,Conversion_Rate,Average_Order_Value,Customer_Acquisition_Cost,Website_Traffic,Product_Category,Device_Type,Month,Week,Day_of_Week,ROI
2023-01-01,5993.428306022465,159,5.818408221100443,59.09842455872768,28.015317685657326,5158,Clothing,Mobile,2023-01,2022-12-26/2023-01-01,Sunday,134.54967054411827
2023-01-02,10873.639515592322,139,2.3068122886526043,97.67223081151663,19.93216587236636,4976,Books,Tablet,2023-01,2023-01-02/2023-01-08,Monday,392.4692525401205
2023-01-03,17325.756403705935,135,3.545643322002331,86.75937642105661,18.4974922366709,4875,Sports,Mobile,2023-01,2023-01-02/2023-01-08,Tuesday,693.8180304750628
2023-01-04,25528.555928434213,150,2.35714820208663,37.17451137951703,31.400870462163905,5035,Electronics,Desktop,2023-01,2023-01-02/2023-01-08,Wednesday,541.992531899066
2023-01-05,30216.98899089976,170,5.622772717696327,83.5024812358702,42.0723909985831,4982,Electronics,Tablet,2023-01,2023-01-02/2023-01-08,Thursday,422.4789460387511
2023-01-06,34905.45488891363,153,6.119539480955641,94.08366334379676,25.318730596730568,4983,Home,Desktop,2023-01,2023-01-02/2023-01-08,Friday,901.0729316009831
2023-01-07,43220.62033184064,135,2.686925828395431,74.30533504880817,36.990003216678694,4966,Books,Mobile,2023-01,2023-01-02/2023-01-08,Saturday,865.5115311113667
2023-01-08,49912.22960205868,150,4.303033298269877,70.75011614383524,34.759840648193006,4892,Home,Mobile,2023-01,2023-01-02/2023-01-08,Sunday,957.2776835050187
2023-01-09,54130.020642101,127,4.737419053733252,113.88840776307383,42.94664742928443,5020,Electronics,Tablet,2023-01,2023-01-09/2023-01-15,Monday,992.4421590276268
2023-01-10,60371.88054118516,139,4.214318130565499,83.79422017216777,39.629430518974225,4962,Clothing,Mobile,2023-01,2023-01-09/2023-01-15,Tuesday,1095.9785950694168
2023-01-11,64601.78496747246,138,2.726150002911158,94.0959033928476,31.99815776716389,4943,Sports,Tablet,2023-01,2023-01-09/2023-01-15,Wednesday,1462.9869631315944
2023-01-12,68827.06527224416,152,4.513686741124852,100.4826292323873,34.71091494702322,4926,Books,Tablet,2023-01,2023-01-09/2023-01-15,Thursday,1304.5165782580655
2023-01-13,74467.72962728847,161,6.507068286850509,64.97125846989844,41.951593997521044,5037,Clothing,Tablet,2023-01,2023-01-09/2023-01-15,Friday,1102.5385166160854
2023-01-14,75797.9089498851,151,2.426045987199533,88.86414845428388,26.985563537608044,4995,Sports,Tablet,2023-01,2023-01-09/2023-01-15,Saturday,1860.1535085725154
2023-01-15,77504.81309677125,146,2.4810800844914205,111.39288988954598,24.80384117573332,4871,Books,Tablet,2023-01,2023-01-09/2023-01-15,Sunday,2140.212398811113
2023-01-16,81536.97785020153,136,4.128627751015905,121.38446366599442,15.32433250905589,4969,Books,Desktop,2023-01,2023-01-16/2023-01-22,Monday,3912.3178871603172
2023-01-17,84668.0554214449,145,7.65035426971355,85.79872794429382,39.796532225743924,5093,Electronics,Tablet,2023-01,2023-01-16/2023-01-22,Tuesday,1467.2575496878142
2023-01-18,90453.28989854768,155,6.011435880337484,80.2411290530585,39.02942101210095,4940,Clothing,Desktop,2023-01,2023-01-16/2023-01-22,Wednesday,1495.204379454568
2023-01-19,93793.98155941747,158,6.072019740035389,90.38048136275067,18.13363554300454,4982,Books,Mobile,2023-01,2023-01-16/2023-01-22,Thursday,3273.655706116056
2023-01-20,96126.1139686591,140,4.17151994502719,89.87274094055041,32.305721433981006,4927,Books,Tablet,2023-01,2023-01-16/2023-01-22,Friday,2125.366867845011
2023-01-21,104214.15131841444,162,5.56196474725123,112.73516132262307,28.919450945006623,4966,Sports,Mobile,2023-01,2023-01-16/2023-01-22,Saturday,2224.444826369215
2023-01-22,108919.3385293536,155,2.0607871041664603,65.07216621665866,18.561272865273345,4984,Electronics,Tablet,2023-01,2023-01-16/2023-01-22,Sunday,3785.8686468722894
2023-01-23,114211.13475064168,131,5.816576278457253,79.40253827667956,44.417046811821706,5077,Home,Desktop,2023-01,2023-01-23/2023-01-29,Monday,1962.8516208675505
2023-01-24,116518.37819012698,158,7.47972168545742,62.65717346246979,21.440876623900664,5090,Electronics,Desktop,2023-01,2023-01-23/2023-01-29,Tuesday,3439.4959811898175
2023-01-25,120586.35255298884,163,5.675440810068915,64.75810228404846,17.017025402716833,5040,Home,Desktop,2023-01,2023-01-23/2023-01-29,Wednesday,4347.373036339277
2023-01-26,125964.9375443208,156,7.24219156079807,92.53148030278248,32.845421385057286,4983,Clothing,Mobile,2023-01,2023-01-23/2023-01-29,Thursday,2458.386935867964
2023-01-27,128819.69020138841,142,6.343838332796563,101.19715683274053,37.16600031399098,4980,Clothing,Tablet,2023-01,2023-01-23/2023-01-29,Friday,2440.889278499203
2023-01-28,134727.82604999197,139,2.7233504984221417,72.01216612512509,15.973303381415608,5036,Books,Mobile,2023-01,2023-01-23/2023-01-29,Saturday,6068.030591212331
2023-01-29,138683.2884820666,137,7.4147198437150506,100.44189577950578,34.761529161810664,4910,Clothing,Desktop,2023-01,2023-01-23/2023-01-29,Sunday,2912.0893172716624
2023-01-30,143256.64079439227,147,2.3986630661346493,107.23157314263936,30.968756278543633,4935,Books,Mobile,2023-01,2023-01-30/2023-02-05,Monday,3146.8327711488355
2023-01-31,147209.9673818457,163,5.203804835286583,123.6941199686678,18.097950266251452,5035,Electronics,Desktop,2023-01,2023-01-30/2023-02-05,Tuesday,4990.226080621854
2023-02-01,156071.2635627758,141,2.852822742760746,86.39493697682099,20.17571630839086,4984,Clothing,Desktop,2023-02,2023-01-30/2023-02-05,Wednesday,5486.240870674301
